"Statistic Label","Year","Sex","Citizenship","UNIT","VALUE"
"Estimated Immigration (Persons in April)","2011","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.9"
"Estimated Immigration (Persons in April)","2011","Female","All Countries","Thousand","27.2"
"Estimated Immigration (Persons in April)","2011","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.7"
"Estimated Immigration (Persons in April)","2011","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.5"
"Estimated Immigration (Persons in April)","2011","Female","United Kingdom","Thousand","1.9"
"Estimated Immigration (Persons in April)","2011","Female","Ireland","Thousand","9.7"
"Estimated Immigration (Persons in April)","2011","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.5"
"Estimated Immigration (Persons in April)","2012","Both sexes","All Countries","Thousand","57.3"
"Estimated Immigration (Persons in April)","2012","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.9"
"Estimated Immigration (Persons in April)","2012","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.7"
"Estimated Immigration (Persons in April)","2012","Both sexes","United Kingdom","Thousand","3.9"
"Estimated Immigration (Persons in April)","2012","Both sexes","Ireland","Thousand","20.1"
"Estimated Immigration (Persons in April)","2012","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","17.7"
"Estimated Immigration (Persons in April)","2012","Male","All Countries","Thousand","27.5"
"Estimated Immigration (Persons in April)","2012","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.6"
"Estimated Immigration (Persons in April)","2012","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.2"
"Estimated Immigration (Persons in April)","2012","Male","United Kingdom","Thousand","2"
"Estimated Immigration (Persons in April)","2012","Male","Ireland","Thousand","9.1"
"Estimated Immigration (Persons in April)","2012","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.6"
"Estimated Immigration (Persons in April)","2012","Female","All Countries","Thousand","29.7"
"Estimated Immigration (Persons in April)","2012","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.3"
"Estimated Immigration (Persons in April)","2012","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.5"
"Estimated Immigration (Persons in April)","2012","Female","United Kingdom","Thousand","1.8"
"Estimated Immigration (Persons in April)","2012","Female","Ireland","Thousand","11"
"Estimated Immigration (Persons in April)","2012","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.2"
"Estimated Immigration (Persons in April)","2013","Both sexes","All Countries","Thousand","62.7"
"Estimated Immigration (Persons in April)","2013","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.8"
"Estimated Immigration (Persons in April)","2013","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","8.3"
"Estimated Immigration (Persons in April)","2013","Both sexes","United Kingdom","Thousand","4.1"
"Estimated Immigration (Persons in April)","2013","Both sexes","Ireland","Thousand","21.7"
"Estimated Immigration (Persons in April)","2013","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","19.8"
"Estimated Immigration (Persons in April)","2013","Male","All Countries","Thousand","32.3"
"Estimated Immigration (Persons in April)","2013","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.4"
"Estimated Immigration (Persons in April)","2013","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.8"
"Estimated Immigration (Persons in April)","2013","Male","United Kingdom","Thousand","2.3"
"Estimated Immigration (Persons in April)","2013","Male","Ireland","Thousand","10.5"
"Estimated Immigration (Persons in April)","2013","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.3"
"Estimated Immigration (Persons in April)","2013","Female","All Countries","Thousand","30.4"
"Estimated Immigration (Persons in April)","2013","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.3"
"Estimated Immigration (Persons in April)","2013","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"Estimated Immigration (Persons in April)","2013","Female","United Kingdom","Thousand","1.9"
"Estimated Immigration (Persons in April)","2013","Female","Ireland","Thousand","11.2"
"Estimated Immigration (Persons in April)","2013","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.4"
"Estimated Immigration (Persons in April)","2014","Both sexes","All Countries","Thousand","66.5"
"Estimated Immigration (Persons in April)","2014","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9.4"
"Estimated Immigration (Persons in April)","2014","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","11.1"
"Estimated Immigration (Persons in April)","2014","Both sexes","United Kingdom","Thousand","4.2"
"Estimated Immigration (Persons in April)","2014","Both sexes","Ireland","Thousand","22.8"
"Estimated Immigration (Persons in April)","2014","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","19"
"Estimated Immigration (Persons in April)","2014","Male","All Countries","Thousand","30.9"
"Estimated Immigration (Persons in April)","2014","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.3"
"Estimated Immigration (Persons in April)","2014","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.9"
"Estimated Immigration (Persons in April)","2014","Male","United Kingdom","Thousand","2"
"Estimated Immigration (Persons in April)","2014","Male","Ireland","Thousand","9.9"
"Estimated Immigration (Persons in April)","2014","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.7"
"Estimated Immigration (Persons in April)","2014","Female","All Countries","Thousand","35.6"
"Estimated Immigration (Persons in April)","2014","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.1"
"Estimated Immigration (Persons in April)","2014","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.1"
"Estimated Immigration (Persons in April)","2014","Female","United Kingdom","Thousand","2.2"
"Estimated Immigration (Persons in April)","2014","Female","Ireland","Thousand","12.9"
"Estimated Immigration (Persons in April)","2014","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.3"
"Estimated Immigration (Persons in April)","2015","Both sexes","All Countries","Thousand","75.9"
"Estimated Immigration (Persons in April)","2015","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","10.2"
"Estimated Immigration (Persons in April)","2015","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.2"
"Estimated Immigration (Persons in April)","2015","Both sexes","United Kingdom","Thousand","5"
"Estimated Immigration (Persons in April)","2015","Both sexes","Ireland","Thousand","26.6"
"Estimated Immigration (Persons in April)","2015","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","21.9"
"Estimated Immigration (Persons in April)","2015","Male","All Countries","Thousand","35.7"
"Estimated Immigration (Persons in April)","2015","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.6"
"Estimated Immigration (Persons in April)","2015","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.5"
"Estimated Immigration (Persons in April)","2015","Male","United Kingdom","Thousand","2.5"
"Estimated Immigration (Persons in April)","2015","Male","Ireland","Thousand","11.9"
"Estimated Immigration (Persons in April)","2015","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.2"
"Estimated Immigration (Persons in April)","2015","Female","All Countries","Thousand","40.2"
"Estimated Immigration (Persons in April)","2015","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.6"
"Estimated Immigration (Persons in April)","2015","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.7"
"Estimated Immigration (Persons in April)","2015","Female","United Kingdom","Thousand","2.5"
"Estimated Immigration (Persons in April)","2015","Female","Ireland","Thousand","14.7"
"Estimated Immigration (Persons in April)","2015","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.7"
"Estimated Immigration (Persons in April)","2016","Both sexes","All Countries","Thousand","82.3"
"Estimated Immigration (Persons in April)","2016","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.4"
"Estimated Immigration (Persons in April)","2016","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","13.2"
"Estimated Immigration (Persons in April)","2016","Both sexes","United Kingdom","Thousand","5.9"
"Estimated Immigration (Persons in April)","2016","Both sexes","Ireland","Thousand","28.4"
"Estimated Immigration (Persons in April)","2016","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","23.6"
"Estimated Immigration (Persons in April)","2016","Male","All Countries","Thousand","41.2"
"Estimated Immigration (Persons in April)","2016","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.2"
"Estimated Immigration (Persons in April)","2016","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.8"
"Estimated Immigration (Persons in April)","2016","Male","United Kingdom","Thousand","3.3"
"Estimated Immigration (Persons in April)","2016","Male","Ireland","Thousand","14.4"
"Estimated Immigration (Persons in April)","2016","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.5"
"Estimated Immigration (Persons in April)","2016","Female","All Countries","Thousand","41.2"
"Estimated Immigration (Persons in April)","2016","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.2"
"Estimated Immigration (Persons in April)","2016","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.4"
"Estimated Immigration (Persons in April)","2016","Female","United Kingdom","Thousand","2.6"
"Estimated Immigration (Persons in April)","2016","Female","Ireland","Thousand","13.9"
"Estimated Immigration (Persons in April)","2016","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","12.1"
"Estimated Immigration (Persons in April)","2017","Both sexes","All Countries","Thousand","95.3"
"Estimated Immigration (Persons in April)","2017","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.4"
"Estimated Immigration (Persons in April)","2017","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","11"
"Estimated Immigration (Persons in April)","2017","Both sexes","United Kingdom","Thousand","6.4"
"Estimated Immigration (Persons in April)","2017","Both sexes","Ireland","Thousand","31"
"Estimated Immigration (Persons in April)","2017","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","35.5"
"Estimated Immigration (Persons in April)","2017","Male","All Countries","Thousand","47.3"
"Estimated Immigration (Persons in April)","2017","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.4"
"Estimated Immigration (Persons in April)","2017","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.5"
"Estimated Immigration (Persons in April)","2017","Male","United Kingdom","Thousand","3.5"
"Estimated Immigration (Persons in April)","2017","Male","Ireland","Thousand","15.3"
"Estimated Immigration (Persons in April)","2017","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","17.6"
"Estimated Immigration (Persons in April)","2017","Female","All Countries","Thousand","48"
"Estimated Immigration (Persons in April)","2017","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6"
"Estimated Immigration (Persons in April)","2017","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.5"
"Estimated Immigration (Persons in April)","2017","Female","United Kingdom","Thousand","2.9"
"Estimated Immigration (Persons in April)","2017","Female","Ireland","Thousand","15.6"
"Estimated Immigration (Persons in April)","2017","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","18"
"Estimated Immigration (Persons in April)","2018","Both sexes","All Countries","Thousand","96"
"Estimated Immigration (Persons in April)","2018","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.6"
"Estimated Immigration (Persons in April)","2018","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","11.1"
"Estimated Immigration (Persons in April)","2018","Both sexes","United Kingdom","Thousand","6.3"
"Estimated Immigration (Persons in April)","2018","Both sexes","Ireland","Thousand","30.1"
"Estimated Immigration (Persons in April)","2018","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","36.9"
"Estimated Immigration (Persons in April)","2018","Male","All Countries","Thousand","47.3"
"Estimated Immigration (Persons in April)","2018","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.4"
"Estimated Immigration (Persons in April)","2018","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.3"
"Estimated Immigration (Persons in April)","2018","Male","United Kingdom","Thousand","3.4"
"Estimated Immigration (Persons in April)","2018","Male","Ireland","Thousand","15.2"
"Estimated Immigration (Persons in April)","2018","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","18.1"
"Estimated Immigration (Persons in April)","2018","Female","All Countries","Thousand","48.7"
"Estimated Immigration (Persons in April)","2018","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.2"
"Estimated Immigration (Persons in April)","2018","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.8"
"Estimated Immigration (Persons in April)","2018","Female","United Kingdom","Thousand","3"
"Estimated Immigration (Persons in April)","2018","Female","Ireland","Thousand","14.9"
"Estimated Immigration (Persons in April)","2018","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","18.7"
"Estimated Immigration (Persons in April)","2019","Both sexes","All Countries","Thousand","97.1"
"Estimated Immigration (Persons in April)","2019","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.6"
"Estimated Immigration (Persons in April)","2019","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","11.1"
"Estimated Immigration (Persons in April)","2019","Both sexes","United Kingdom","Thousand","6.4"
"Estimated Immigration (Persons in April)","2019","Both sexes","Ireland","Thousand","31"
"Estimated Immigration (Persons in April)","2019","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","37.1"
"Estimated Immigration (Persons in April)","2019","Male","All Countries","Thousand","49"
"Estimated Immigration (Persons in April)","2019","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.6"
"Estimated Immigration (Persons in April)","2019","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.4"
"Estimated Immigration (Persons in April)","2019","Male","United Kingdom","Thousand","3.1"
"Estimated Immigration (Persons in April)","2019","Male","Ireland","Thousand","15.4"
"Estimated Immigration (Persons in April)","2019","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","19.5"
"Estimated Immigration (Persons in April)","2019","Female","All Countries","Thousand","48.1"
"Estimated Immigration (Persons in April)","2019","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.9"
"Estimated Immigration (Persons in April)","2019","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.7"
"Estimated Immigration (Persons in April)","2019","Female","United Kingdom","Thousand","3.4"
"Estimated Immigration (Persons in April)","2019","Female","Ireland","Thousand","15.5"
"Estimated Immigration (Persons in April)","2019","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","17.6"
"Estimated Immigration (Persons in April)","2020","Both sexes","All Countries","Thousand","95.6"
"Estimated Immigration (Persons in April)","2020","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9.2"
"Estimated Immigration (Persons in April)","2020","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.9"
"Estimated Immigration (Persons in April)","2020","Both sexes","United Kingdom","Thousand","5.5"
"Estimated Immigration (Persons in April)","2020","Both sexes","Ireland","Thousand","33.6"
"Estimated Immigration (Persons in April)","2020","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","37.4"
"Estimated Immigration (Persons in April)","2020","Male","All Countries","Thousand","46.9"
"Estimated Immigration (Persons in April)","2020","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.1"
"Estimated Immigration (Persons in April)","2020","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.5"
"Estimated Immigration (Persons in April)","2020","Male","United Kingdom","Thousand","3.1"
"Estimated Immigration (Persons in April)","2020","Male","Ireland","Thousand","16.6"
"Estimated Immigration (Persons in April)","2020","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","18.6"
"Estimated Immigration (Persons in April)","2020","Female","All Countries","Thousand","48.7"
"Estimated Immigration (Persons in April)","2020","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.1"
"Estimated Immigration (Persons in April)","2020","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.4"
"Estimated Immigration (Persons in April)","2020","Female","United Kingdom","Thousand","2.4"
"Estimated Immigration (Persons in April)","2020","Female","Ireland","Thousand","17"
"Estimated Immigration (Persons in April)","2020","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","18.8"
"Estimated Immigration (Persons in April)","2021","Both sexes","All Countries","Thousand","74.1"
"Estimated Immigration (Persons in April)","2021","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.5"
"Estimated Immigration (Persons in April)","2021","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","9"
"Estimated Immigration (Persons in April)","2021","Both sexes","United Kingdom","Thousand","5"
"Estimated Immigration (Persons in April)","2021","Both sexes","Ireland","Thousand","36.4"
"Estimated Immigration (Persons in April)","2021","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","16.1"
"Estimated Immigration (Persons in April)","2021","Male","All Countries","Thousand","36.2"
"Estimated Immigration (Persons in April)","2021","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.4"
"Estimated Immigration (Persons in April)","2021","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.9"
"Estimated Immigration (Persons in April)","2021","Male","United Kingdom","Thousand","2.5"
"Estimated Immigration (Persons in April)","2021","Male","Ireland","Thousand","19.1"
"Estimated Immigration (Persons in April)","2021","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7.4"
"Estimated Immigration (Persons in April)","2021","Female","All Countries","Thousand","37.9"
"Estimated Immigration (Persons in April)","2021","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.2"
"Estimated Immigration (Persons in April)","2021","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.1"
"Estimated Immigration (Persons in April)","2021","Female","United Kingdom","Thousand","2.5"
"Estimated Immigration (Persons in April)","2021","Female","Ireland","Thousand","17.3"
"Estimated Immigration (Persons in April)","2021","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.8"
"Estimated Immigration (Persons in April)","2022","Both sexes","All Countries","Thousand","107.8"
"Estimated Immigration (Persons in April)","2022","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","13.2"
"Estimated Immigration (Persons in April)","2022","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","8.6"
"Estimated Immigration (Persons in April)","2022","Both sexes","United Kingdom","Thousand","3.8"
"Estimated Immigration (Persons in April)","2022","Both sexes","Ireland","Thousand","23.5"
"Estimated Immigration (Persons in April)","2022","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","58.8"
"Estimated Immigration (Persons in April)","2022","Male","All Countries","Thousand","49.2"
"Estimated Immigration (Persons in April)","2022","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.3"
"Estimated Immigration (Persons in April)","2022","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.7"
"Estimated Immigration (Persons in April)","2022","Male","United Kingdom","Thousand","2.1"
"Estimated Immigration (Persons in April)","2022","Male","Ireland","Thousand","11.8"
"Estimated Immigration (Persons in April)","2022","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","24.4"
"Estimated Immigration (Persons in April)","2022","Female","All Countries","Thousand","58.6"
"Estimated Immigration (Persons in April)","2022","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"Estimated Immigration (Persons in April)","2022","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.9"
"Estimated Immigration (Persons in April)","2022","Female","United Kingdom","Thousand","1.7"
"Estimated Immigration (Persons in April)","2022","Female","Ireland","Thousand","11.7"
"Estimated Immigration (Persons in April)","2022","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","34.4"
"Estimated Immigration (Persons in April)","2023","Both sexes","All Countries","Thousand","141.6"
"Estimated Immigration (Persons in April)","2023","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","15"
"Estimated Immigration (Persons in April)","2023","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","11.1"
"Estimated Immigration (Persons in April)","2023","Both sexes","United Kingdom","Thousand","4.8"
"Estimated Immigration (Persons in April)","2023","Both sexes","Ireland","Thousand","29.6"
"Estimated Immigration (Persons in April)","2023","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","81.1"
"Estimated Immigration (Persons in April)","2023","Male","All Countries","Thousand","66.1"
"Estimated Immigration (Persons in April)","2023","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.4"
"Estimated Immigration (Persons in April)","2023","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.4"
"Estimated Immigration (Persons in April)","2023","Male","United Kingdom","Thousand","2.3"
"Estimated Immigration (Persons in April)","2023","Male","Ireland","Thousand","15.3"
"Estimated Immigration (Persons in April)","2023","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","35.7"
"Estimated Immigration (Persons in April)","2023","Female","All Countries","Thousand","75.5"
"Estimated Immigration (Persons in April)","2023","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.7"
"Estimated Immigration (Persons in April)","2023","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.8"
"Estimated Immigration (Persons in April)","2023","Female","United Kingdom","Thousand","2.5"
"Estimated Immigration (Persons in April)","2023","Female","Ireland","Thousand","14.3"
"Estimated Immigration (Persons in April)","2023","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","45.3"
