"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","1961","69 years","Female","Number","10082"
"Population estimates from 1926","1961","70 years","Both sexes","Number","20437"
"Population estimates from 1926","1961","70 years","Male","Number","9820"
"Population estimates from 1926","1961","70 years","Female","Number","10617"
"Population estimates from 1926","1961","71 years","Both sexes","Number","18898"
"Population estimates from 1926","1961","71 years","Male","Number","9061"
"Population estimates from 1926","1961","71 years","Female","Number","9837"
"Population estimates from 1926","1961","72 years","Both sexes","Number","19218"
"Population estimates from 1926","1961","72 years","Male","Number","9044"
"Population estimates from 1926","1961","72 years","Female","Number","10174"
"Population estimates from 1926","1961","73 years","Both sexes","Number","17569"
"Population estimates from 1926","1961","73 years","Male","Number","8414"
"Population estimates from 1926","1961","73 years","Female","Number","9155"
"Population estimates from 1926","1961","74 years","Both sexes","Number","16668"
"Population estimates from 1926","1961","74 years","Male","Number","7771"
"Population estimates from 1926","1961","74 years","Female","Number","8897"
"Population estimates from 1926","1961","75 years","Both sexes","Number","14974"
"Population estimates from 1926","1961","75 years","Male","Number","7095"
"Population estimates from 1926","1961","75 years","Female","Number","7879"
"Population estimates from 1926","1961","76 years","Both sexes","Number","14239"
"Population estimates from 1926","1961","76 years","Male","Number","6799"
"Population estimates from 1926","1961","76 years","Female","Number","7440"
"Population estimates from 1926","1961","77 years","Both sexes","Number","12122"
"Population estimates from 1926","1961","77 years","Male","Number","5666"
"Population estimates from 1926","1961","77 years","Female","Number","6456"
"Population estimates from 1926","1961","78 years","Both sexes","Number","11023"
"Population estimates from 1926","1961","78 years","Male","Number","5148"
"Population estimates from 1926","1961","78 years","Female","Number","5875"
"Population estimates from 1926","1961","79 years","Both sexes","Number","10852"
"Population estimates from 1926","1961","79 years","Male","Number","4986"
"Population estimates from 1926","1961","79 years","Female","Number","5866"
"Population estimates from 1926","1961","80 years","Both sexes","Number","10527"
"Population estimates from 1926","1961","80 years","Male","Number","4621"
"Population estimates from 1926","1961","80 years","Female","Number","5906"
"Population estimates from 1926","1961","81 years","Both sexes","Number","8498"
"Population estimates from 1926","1961","81 years","Male","Number","3984"
"Population estimates from 1926","1961","81 years","Female","Number","4514"
"Population estimates from 1926","1961","82 years","Both sexes","Number","6772"
"Population estimates from 1926","1961","82 years","Male","Number","3031"
"Population estimates from 1926","1961","82 years","Female","Number","3741"
"Population estimates from 1926","1961","83 years","Both sexes","Number","5997"
"Population estimates from 1926","1961","83 years","Male","Number","2739"
"Population estimates from 1926","1961","83 years","Female","Number","3258"
"Population estimates from 1926","1961","84 years","Both sexes","Number","5246"
"Population estimates from 1926","1961","84 years","Male","Number","2299"
"Population estimates from 1926","1961","84 years","Female","Number","2947"
"Population estimates from 1926","1961","85 years","Both sexes","Number","4608"
"Population estimates from 1926","1961","85 years","Male","Number","2049"
"Population estimates from 1926","1961","85 years","Female","Number","2559"
"Population estimates from 1926","1961","86 years","Both sexes","Number","3416"
"Population estimates from 1926","1961","86 years","Male","Number","1436"
"Population estimates from 1926","1961","86 years","Female","Number","1980"
"Population estimates from 1926","1961","87 years","Both sexes","Number","2712"
"Population estimates from 1926","1961","87 years","Male","Number","1172"
"Population estimates from 1926","1961","87 years","Female","Number","1540"
"Population estimates from 1926","1961","88 years","Both sexes","Number","1948"
"Population estimates from 1926","1961","88 years","Male","Number","788"
"Population estimates from 1926","1961","88 years","Female","Number","1160"
"Population estimates from 1926","1961","89 years","Both sexes","Number","1596"
"Population estimates from 1926","1961","89 years","Male","Number","651"
"Population estimates from 1926","1961","89 years","Female","Number","945"
"Population estimates from 1926","1961","90 years","Both sexes","Number","1319"
"Population estimates from 1926","1961","90 years","Male","Number","532"
"Population estimates from 1926","1961","90 years","Female","Number","787"
"Population estimates from 1926","1961","91 years","Both sexes","Number","897"
"Population estimates from 1926","1961","91 years","Male","Number","341"
"Population estimates from 1926","1961","91 years","Female","Number","556"
"Population estimates from 1926","1961","92 years","Both sexes","Number","578"
"Population estimates from 1926","1961","92 years","Male","Number","224"
"Population estimates from 1926","1961","92 years","Female","Number","354"
"Population estimates from 1926","1961","93 years","Both sexes","Number","392"
"Population estimates from 1926","1961","93 years","Male","Number","141"
"Population estimates from 1926","1961","93 years","Female","Number","251"
"Population estimates from 1926","1961","94 years","Both sexes","Number","302"
"Population estimates from 1926","1961","94 years","Male","Number","113"
"Population estimates from 1926","1961","94 years","Female","Number","189"
"Population estimates from 1926","1961","95 years","Both sexes","Number","222"
"Population estimates from 1926","1961","95 years","Male","Number","63"
"Population estimates from 1926","1961","95 years","Female","Number","159"
"Population estimates from 1926","1961","96 years","Both sexes","Number","161"
"Population estimates from 1926","1961","96 years","Male","Number","47"
"Population estimates from 1926","1961","96 years","Female","Number","114"
"Population estimates from 1926","1961","97 years","Both sexes","Number","105"
"Population estimates from 1926","1961","97 years","Male","Number","40"
"Population estimates from 1926","1961","97 years","Female","Number","65"
"Population estimates from 1926","1961","98 years","Both sexes","Number","65"
"Population estimates from 1926","1961","98 years","Male","Number","19"
"Population estimates from 1926","1961","98 years","Female","Number","46"
"Population estimates from 1926","1961","99 years and over","Both sexes","Number","214"
"Population estimates from 1926","1961","99 years and over","Male","Number","78"
"Population estimates from 1926","1961","99 years and over","Female","Number","136"
"Population estimates from 1926","1966","All ages","Both sexes","Number","2884002"
"Population estimates from 1926","1966","All ages","Male","Number","1449032"
"Population estimates from 1926","1966","All ages","Female","Number","1434970"
"Population estimates from 1926","1966","Under 1 year","Both sexes","Number","63589"
"Population estimates from 1926","1966","Under 1 year","Male","Number","32514"
"Population estimates from 1926","1966","Under 1 year","Female","Number","31075"
"Population estimates from 1926","1966","1 year","Both sexes","Number","64182"
"Population estimates from 1926","1966","1 year","Male","Number","32686"
"Population estimates from 1926","1966","1 year","Female","Number","31496"
"Population estimates from 1926","1966","2 years","Both sexes","Number","63534"
"Population estimates from 1926","1966","2 years","Male","Number","32437"
"Population estimates from 1926","1966","2 years","Female","Number","31097"
"Population estimates from 1926","1966","3 years","Both sexes","Number","63111"
"Population estimates from 1926","1966","3 years","Male","Number","32240"
"Population estimates from 1926","1966","3 years","Female","Number","30871"
"Population estimates from 1926","1966","4 years","Both sexes","Number","61515"
"Population estimates from 1926","1966","4 years","Male","Number","31435"
"Population estimates from 1926","1966","4 years","Female","Number","30080"
"Population estimates from 1926","1966","5 years","Both sexes","Number","61970"
"Population estimates from 1926","1966","5 years","Male","Number","31658"
"Population estimates from 1926","1966","5 years","Female","Number","30312"
"Population estimates from 1926","1966","6 years","Both sexes","Number","60896"
"Population estimates from 1926","1966","6 years","Male","Number","30962"
"Population estimates from 1926","1966","6 years","Female","Number","29934"
"Population estimates from 1926","1966","7 years","Both sexes","Number","59455"
"Population estimates from 1926","1966","7 years","Male","Number","30419"
"Population estimates from 1926","1966","7 years","Female","Number","29036"
"Population estimates from 1926","1966","8 years","Both sexes","Number","58252"
"Population estimates from 1926","1966","8 years","Male","Number","29621"
"Population estimates from 1926","1966","8 years","Female","Number","28631"
"Population estimates from 1926","1966","9 years","Both sexes","Number","58417"
"Population estimates from 1926","1966","9 years","Male","Number","29785"
"Population estimates from 1926","1966","9 years","Female","Number","28632"
"Population estimates from 1926","1966","10 years","Both sexes","Number","57180"
"Population estimates from 1926","1966","10 years","Male","Number","29117"
"Population estimates from 1926","1966","10 years","Female","Number","28063"
"Population estimates from 1926","1966","11 years","Both sexes","Number","58394"
"Population estimates from 1926","1966","11 years","Male","Number","29707"
"Population estimates from 1926","1966","11 years","Female","Number","28687"
"Population estimates from 1926","1966","12 years","Both sexes","Number","56448"
"Population estimates from 1926","1966","12 years","Male","Number","28869"
"Population estimates from 1926","1966","12 years","Female","Number","27579"
"Population estimates from 1926","1966","13 years","Both sexes","Number","58176"
"Population estimates from 1926","1966","13 years","Male","Number","29679"
"Population estimates from 1926","1966","13 years","Female","Number","28497"
"Population estimates from 1926","1966","14 years","Both sexes","Number","55277"
"Population estimates from 1926","1966","14 years","Male","Number","28277"
"Population estimates from 1926","1966","14 years","Female","Number","27000"
"Population estimates from 1926","1966","15 years","Both sexes","Number","55731"
"Population estimates from 1926","1966","15 years","Male","Number","28700"
"Population estimates from 1926","1966","15 years","Female","Number","27031"
"Population estimates from 1926","1966","16 years","Both sexes","Number","54571"
"Population estimates from 1926","1966","16 years","Male","Number","27885"
"Population estimates from 1926","1966","16 years","Female","Number","26686"
"Population estimates from 1926","1966","17 years","Both sexes","Number","53396"
"Population estimates from 1926","1966","17 years","Male","Number","27373"
"Population estimates from 1926","1966","17 years","Female","Number","26023"
"Population estimates from 1926","1966","18 years","Both sexes","Number","49784"
"Population estimates from 1926","1966","18 years","Male","Number","25592"
"Population estimates from 1926","1966","18 years","Female","Number","24192"
"Population estimates from 1926","1966","19 years","Both sexes","Number","45874"
"Population estimates from 1926","1966","19 years","Male","Number","23777"
"Population estimates from 1926","1966","19 years","Female","Number","22097"
"Population estimates from 1926","1966","20 years","Both sexes","Number","43724"
"Population estimates from 1926","1966","20 years","Male","Number","22505"
"Population estimates from 1926","1966","20 years","Female","Number","21219"
"Population estimates from 1926","1966","21 years","Both sexes","Number","39490"
"Population estimates from 1926","1966","21 years","Male","Number","20241"
"Population estimates from 1926","1966","21 years","Female","Number","19249"
"Population estimates from 1926","1966","22 years","Both sexes","Number","36388"
"Population estimates from 1926","1966","22 years","Male","Number","18614"
"Population estimates from 1926","1966","22 years","Female","Number","17774"
"Population estimates from 1926","1966","23 years","Both sexes","Number","34898"
"Population estimates from 1926","1966","23 years","Male","Number","17597"
"Population estimates from 1926","1966","23 years","Female","Number","17301"
"Population estimates from 1926","1966","24 years","Both sexes","Number","30789"
"Population estimates from 1926","1966","24 years","Male","Number","15769"
"Population estimates from 1926","1966","24 years","Female","Number","15020"
"Population estimates from 1926","1966","25 years","Both sexes","Number","30200"
"Population estimates from 1926","1966","25 years","Male","Number","15315"
"Population estimates from 1926","1966","25 years","Female","Number","14885"
"Population estimates from 1926","1966","26 years","Both sexes","Number","30849"
"Population estimates from 1926","1966","26 years","Male","Number","15529"
"Population estimates from 1926","1966","26 years","Female","Number","15320"
"Population estimates from 1926","1966","27 years","Both sexes","Number","29861"
"Population estimates from 1926","1966","27 years","Male","Number","14856"
"Population estimates from 1926","1966","27 years","Female","Number","15005"
"Population estimates from 1926","1966","28 years","Both sexes","Number","28241"
"Population estimates from 1926","1966","28 years","Male","Number","14258"
"Population estimates from 1926","1966","28 years","Female","Number","13983"
"Population estimates from 1926","1966","29 years","Both sexes","Number","30166"
"Population estimates from 1926","1966","29 years","Male","Number","15050"
"Population estimates from 1926","1966","29 years","Female","Number","15116"
"Population estimates from 1926","1966","30 years","Both sexes","Number","29403"
"Population estimates from 1926","1966","30 years","Male","Number","14793"
"Population estimates from 1926","1966","30 years","Female","Number","14610"
"Population estimates from 1926","1966","31 years","Both sexes","Number","28717"
"Population estimates from 1926","1966","31 years","Male","Number","14510"
"Population estimates from 1926","1966","31 years","Female","Number","14207"
"Population estimates from 1926","1966","32 years","Both sexes","Number","28654"
"Population estimates from 1926","1966","32 years","Male","Number","14473"
"Population estimates from 1926","1966","32 years","Female","Number","14181"
"Population estimates from 1926","1966","33 years","Both sexes","Number","31216"
"Population estimates from 1926","1966","33 years","Male","Number","15621"
"Population estimates from 1926","1966","33 years","Female","Number","15595"
"Population estimates from 1926","1966","34 years","Both sexes","Number","28635"
"Population estimates from 1926","1966","34 years","Male","Number","14397"
"Population estimates from 1926","1966","34 years","Female","Number","14238"
"Population estimates from 1926","1966","35 years","Both sexes","Number","30329"
"Population estimates from 1926","1966","35 years","Male","Number","15401"
"Population estimates from 1926","1966","35 years","Female","Number","14928"
"Population estimates from 1926","1966","36 years","Both sexes","Number","30229"
"Population estimates from 1926","1966","36 years","Male","Number","15032"
"Population estimates from 1926","1966","36 years","Female","Number","15197"
"Population estimates from 1926","1966","37 years","Both sexes","Number","30738"
"Population estimates from 1926","1966","37 years","Male","Number","15306"
"Population estimates from 1926","1966","37 years","Female","Number","15432"
"Population estimates from 1926","1966","38 years","Both sexes","Number","30236"
"Population estimates from 1926","1966","38 years","Male","Number","14777"
"Population estimates from 1926","1966","38 years","Female","Number","15459"
"Population estimates from 1926","1966","39 years","Both sexes","Number","32740"
"Population estimates from 1926","1966","39 years","Male","Number","15942"
"Population estimates from 1926","1966","39 years","Female","Number","16798"
"Population estimates from 1926","1966","40 years","Both sexes","Number","31452"
"Population estimates from 1926","1966","40 years","Male","Number","15547"
"Population estimates from 1926","1966","40 years","Female","Number","15905"
"Population estimates from 1926","1966","41 years","Both sexes","Number","32532"
"Population estimates from 1926","1966","41 years","Male","Number","15974"
"Population estimates from 1926","1966","41 years","Female","Number","16558"
"Population estimates from 1926","1966","42 years","Both sexes","Number","31986"
"Population estimates from 1926","1966","42 years","Male","Number","15906"
"Population estimates from 1926","1966","42 years","Female","Number","16080"
"Population estimates from 1926","1966","43 years","Both sexes","Number","34361"
"Population estimates from 1926","1966","43 years","Male","Number","16975"
"Population estimates from 1926","1966","43 years","Female","Number","17386"
"Population estimates from 1926","1966","44 years","Both sexes","Number","33031"
"Population estimates from 1926","1966","44 years","Male","Number","16564"
"Population estimates from 1926","1966","44 years","Female","Number","16467"
"Population estimates from 1926","1966","45 years","Both sexes","Number","34142"
"Population estimates from 1926","1966","45 years","Male","Number","17059"
"Population estimates from 1926","1966","45 years","Female","Number","17083"
"Population estimates from 1926","1966","46 years","Both sexes","Number","33990"
"Population estimates from 1926","1966","46 years","Male","Number","17086"
"Population estimates from 1926","1966","46 years","Female","Number","16904"
"Population estimates from 1926","1966","47 years","Both sexes","Number","33137"
"Population estimates from 1926","1966","47 years","Male","Number","16513"
"Population estimates from 1926","1966","47 years","Female","Number","16624"
"Population estimates from 1926","1966","48 years","Both sexes","Number","29476"
"Population estimates from 1926","1966","48 years","Male","Number","14854"
"Population estimates from 1926","1966","48 years","Female","Number","14622"
"Population estimates from 1926","1966","49 years","Both sexes","Number","35772"
"Population estimates from 1926","1966","49 years","Male","Number","18131"
"Population estimates from 1926","1966","49 years","Female","Number","17641"
"Population estimates from 1926","1966","50 years","Both sexes","Number","32930"
"Population estimates from 1926","1966","50 years","Male","Number","16781"
"Population estimates from 1926","1966","50 years","Female","Number","16149"
"Population estimates from 1926","1966","51 years","Both sexes","Number","34181"
"Population estimates from 1926","1966","51 years","Male","Number","17244"
"Population estimates from 1926","1966","51 years","Female","Number","16937"
"Population estimates from 1926","1966","52 years","Both sexes","Number","31501"
"Population estimates from 1926","1966","52 years","Male","Number","16020"
"Population estimates from 1926","1966","52 years","Female","Number","15481"
"Population estimates from 1926","1966","53 years","Both sexes","Number","34319"
"Population estimates from 1926","1966","53 years","Male","Number","17537"
"Population estimates from 1926","1966","53 years","Female","Number","16782"
"Population estimates from 1926","1966","54 years","Both sexes","Number","32026"
"Population estimates from 1926","1966","54 years","Male","Number","16727"
"Population estimates from 1926","1966","54 years","Female","Number","15299"
"Population estimates from 1926","1966","55 years","Both sexes","Number","33389"
"Population estimates from 1926","1966","55 years","Male","Number","17466"
"Population estimates from 1926","1966","55 years","Female","Number","15923"
"Population estimates from 1926","1966","56 years","Both sexes","Number","29825"
"Population estimates from 1926","1966","56 years","Male","Number","15492"
"Population estimates from 1926","1966","56 years","Female","Number","14333"
"Population estimates from 1926","1966","57 years","Both sexes","Number","29230"
"Population estimates from 1926","1966","57 years","Male","Number","15040"
"Population estimates from 1926","1966","57 years","Female","Number","14190"
"Population estimates from 1926","1966","58 years","Both sexes","Number","26501"
"Population estimates from 1926","1966","58 years","Male","Number","13573"
"Population estimates from 1926","1966","58 years","Female","Number","12928"
"Population estimates from 1926","1966","59 years","Both sexes","Number","28119"
"Population estimates from 1926","1966","59 years","Male","Number","14244"
"Population estimates from 1926","1966","59 years","Female","Number","13875"
"Population estimates from 1926","1966","60 years","Both sexes","Number","26383"
"Population estimates from 1926","1966","60 years","Male","Number","13344"
"Population estimates from 1926","1966","60 years","Female","Number","13039"
"Population estimates from 1926","1966","61 years","Both sexes","Number","25464"
"Population estimates from 1926","1966","61 years","Male","Number","12626"
"Population estimates from 1926","1966","61 years","Female","Number","12838"
"Population estimates from 1926","1966","62 years","Both sexes","Number","24561"
"Population estimates from 1926","1966","62 years","Male","Number","12075"
"Population estimates from 1926","1966","62 years","Female","Number","12486"
"Population estimates from 1926","1966","63 years","Both sexes","Number","24269"
"Population estimates from 1926","1966","63 years","Male","Number","12100"
"Population estimates from 1926","1966","63 years","Female","Number","12169"
"Population estimates from 1926","1966","64 years","Both sexes","Number","23163"
"Population estimates from 1926","1966","64 years","Male","Number","11486"
"Population estimates from 1926","1966","64 years","Female","Number","11677"
"Population estimates from 1926","1966","65 years","Both sexes","Number","27633"
"Population estimates from 1926","1966","65 years","Male","Number","13244"
"Population estimates from 1926","1966","65 years","Female","Number","14389"
"Population estimates from 1926","1966","66 years","Both sexes","Number","22845"
"Population estimates from 1926","1966","66 years","Male","Number","11052"
"Population estimates from 1926","1966","66 years","Female","Number","11793"
"Population estimates from 1926","1966","67 years","Both sexes","Number","22285"
"Population estimates from 1926","1966","67 years","Male","Number","10868"
"Population estimates from 1926","1966","67 years","Female","Number","11417"
"Population estimates from 1926","1966","68 years","Both sexes","Number","19721"
"Population estimates from 1926","1966","68 years","Male","Number","9498"
"Population estimates from 1926","1966","68 years","Female","Number","10223"
"Population estimates from 1926","1966","69 years","Both sexes","Number","21742"
"Population estimates from 1926","1966","69 years","Male","Number","10384"
"Population estimates from 1926","1966","69 years","Female","Number","11358"
"Population estimates from 1926","1966","70 years","Both sexes","Number","20613"
"Population estimates from 1926","1966","70 years","Male","Number","9640"
"Population estimates from 1926","1966","70 years","Female","Number","10973"
"Population estimates from 1926","1966","71 years","Both sexes","Number","19456"
"Population estimates from 1926","1966","71 years","Male","Number","9187"
"Population estimates from 1926","1966","71 years","Female","Number","10269"
"Population estimates from 1926","1966","72 years","Both sexes","Number","18062"
"Population estimates from 1926","1966","72 years","Male","Number","8368"
"Population estimates from 1926","1966","72 years","Female","Number","9694"
"Population estimates from 1926","1966","73 years","Both sexes","Number","16811"
"Population estimates from 1926","1966","73 years","Male","Number","7947"
"Population estimates from 1926","1966","73 years","Female","Number","8864"
"Population estimates from 1926","1966","74 years","Both sexes","Number","15157"
"Population estimates from 1926","1966","74 years","Male","Number","7101"
"Population estimates from 1926","1966","74 years","Female","Number","8056"
"Population estimates from 1926","1966","75 years","Both sexes","Number","15376"
"Population estimates from 1926","1966","75 years","Male","Number","7165"
"Population estimates from 1926","1966","75 years","Female","Number","8211"
"Population estimates from 1926","1966","76 years","Both sexes","Number","13392"
"Population estimates from 1926","1966","76 years","Male","Number","6138"
"Population estimates from 1926","1966","76 years","Female","Number","7254"
"Population estimates from 1926","1966","77 years","Both sexes","Number","13139"
"Population estimates from 1926","1966","77 years","Male","Number","5922"
"Population estimates from 1926","1966","77 years","Female","Number","7217"
"Population estimates from 1926","1966","78 years","Both sexes","Number","10389"
"Population estimates from 1926","1966","78 years","Male","Number","4889"
"Population estimates from 1926","1966","78 years","Female","Number","5500"
"Population estimates from 1926","1966","79 years","Both sexes","Number","10505"
"Population estimates from 1926","1966","79 years","Male","Number","4630"
"Population estimates from 1926","1966","79 years","Female","Number","5875"
"Population estimates from 1926","1966","80 years","Both sexes","Number","8781"
"Population estimates from 1926","1966","80 years","Male","Number","4002"
"Population estimates from 1926","1966","80 years","Female","Number","4779"
"Population estimates from 1926","1966","81 years","Both sexes","Number","7944"
"Population estimates from 1926","1966","81 years","Male","Number","3574"
"Population estimates from 1926","1966","81 years","Female","Number","4370"
"Population estimates from 1926","1966","82 years","Both sexes","Number","6897"
"Population estimates from 1926","1966","82 years","Male","Number","3090"
"Population estimates from 1926","1966","82 years","Female","Number","3807"
"Population estimates from 1926","1966","83 years","Both sexes","Number","6456"
"Population estimates from 1926","1966","83 years","Male","Number","2817"
"Population estimates from 1926","1966","83 years","Female","Number","3639"
"Population estimates from 1926","1966","84 years","Both sexes","Number","5506"
"Population estimates from 1926","1966","84 years","Male","Number","2341"
"Population estimates from 1926","1966","84 years","Female","Number","3165"
"Population estimates from 1926","1966","85 years","Both sexes","Number","5114"
"Population estimates from 1926","1966","85 years","Male","Number","2076"
"Population estimates from 1926","1966","85 years","Female","Number","3038"
"Population estimates from 1926","1966","86 years","Both sexes","Number","3754"
"Population estimates from 1926","1966","86 years","Male","Number","1590"
"Population estimates from 1926","1966","86 years","Female","Number","2164"
"Population estimates from 1926","1966","87 years","Both sexes","Number","2707"
"Population estimates from 1926","1966","87 years","Male","Number","1101"
"Population estimates from 1926","1966","87 years","Female","Number","1606"
"Population estimates from 1926","1966","88 years","Both sexes","Number","2072"
"Population estimates from 1926","1966","88 years","Male","Number","829"
"Population estimates from 1926","1966","88 years","Female","Number","1243"
"Population estimates from 1926","1966","89 years","Both sexes","Number","1847"
"Population estimates from 1926","1966","89 years","Male","Number","725"
"Population estimates from 1926","1966","89 years","Female","Number","1122"
"Population estimates from 1926","1966","90 years","Both sexes","Number","1341"
"Population estimates from 1926","1966","90 years","Male","Number","521"
"Population estimates from 1926","1966","90 years","Female","Number","820"
"Population estimates from 1926","1966","91 years","Both sexes","Number","964"
"Population estimates from 1926","1966","91 years","Male","Number","362"
"Population estimates from 1926","1966","91 years","Female","Number","602"
"Population estimates from 1926","1966","92 years","Both sexes","Number","723"
"Population estimates from 1926","1966","92 years","Male","Number","269"
"Population estimates from 1926","1966","92 years","Female","Number","454"
"Population estimates from 1926","1966","93 years","Both sexes","Number","516"
"Population estimates from 1926","1966","93 years","Male","Number","176"
"Population estimates from 1926","1966","93 years","Female","Number","340"
"Population estimates from 1926","1966","94 years","Both sexes","Number","369"
"Population estimates from 1926","1966","94 years","Male","Number","120"
"Population estimates from 1926","1966","94 years","Female","Number","249"
"Population estimates from 1926","1966","95 years","Both sexes","Number","324"
"Population estimates from 1926","1966","95 years","Male","Number","123"
"Population estimates from 1926","1966","95 years","Female","Number","201"
"Population estimates from 1926","1966","96 years","Both sexes","Number","175"
"Population estimates from 1926","1966","96 years","Male","Number","56"
"Population estimates from 1926","1966","96 years","Female","Number","119"
"Population estimates from 1926","1966","97 years","Both sexes","Number","116"
"Population estimates from 1926","1966","97 years","Male","Number","39"
"Population estimates from 1926","1966","97 years","Female","Number","77"
"Population estimates from 1926","1966","98 years","Both sexes","Number","85"
"Population estimates from 1926","1966","98 years","Male","Number","28"
"Population estimates from 1926","1966","98 years","Female","Number","57"
"Population estimates from 1926","1966","99 years and over","Both sexes","Number","190"
"Population estimates from 1926","1966","99 years and over","Male","Number","77"
"Population estimates from 1926","1966","99 years and over","Female","Number","113"
"Population estimates from 1926","1971","All ages","Both sexes","Number","2978248"
"Population estimates from 1926","1971","All ages","Male","Number","1495760"
"Population estimates from 1926","1971","All ages","Female","Number","1482488"
"Population estimates from 1926","1971","Under 1 year","Both sexes","Number","64886"
"Population estimates from 1926","1971","Under 1 year","Male","Number","33276"
"Population estimates from 1926","1971","Under 1 year","Female","Number","31610"
"Population estimates from 1926","1971","1 year","Both sexes","Number","64206"
"Population estimates from 1926","1971","1 year","Male","Number","32752"
"Population estimates from 1926","1971","1 year","Female","Number","31454"
"Population estimates from 1926","1971","2 years","Both sexes","Number","61708"
"Population estimates from 1926","1971","2 years","Male","Number","31693"
"Population estimates from 1926","1971","2 years","Female","Number","30015"
"Population estimates from 1926","1971","3 years","Both sexes","Number","62074"
"Population estimates from 1926","1971","3 years","Male","Number","31715"
"Population estimates from 1926","1971","3 years","Female","Number","30359"
"Population estimates from 1926","1971","4 years","Both sexes","Number","62781"
"Population estimates from 1926","1971","4 years","Male","Number","32410"
"Population estimates from 1926","1971","4 years","Female","Number","30371"
"Population estimates from 1926","1971","5 years","Both sexes","Number","63503"
"Population estimates from 1926","1971","5 years","Male","Number","32466"
"Population estimates from 1926","1971","5 years","Female","Number","31037"
"Population estimates from 1926","1971","6 years","Both sexes","Number","64888"
"Population estimates from 1926","1971","6 years","Male","Number","33022"
"Population estimates from 1926","1971","6 years","Female","Number","31866"
"Population estimates from 1926","1971","7 years","Both sexes","Number","64340"
"Population estimates from 1926","1971","7 years","Male","Number","32772"
"Population estimates from 1926","1971","7 years","Female","Number","31568"
"Population estimates from 1926","1971","8 years","Both sexes","Number","62702"
"Population estimates from 1926","1971","8 years","Male","Number","32071"
"Population estimates from 1926","1971","8 years","Female","Number","30631"
"Population estimates from 1926","1971","9 years","Both sexes","Number","61507"
"Population estimates from 1926","1971","9 years","Male","Number","31497"
"Population estimates from 1926","1971","9 years","Female","Number","30010"
"Population estimates from 1926","1971","10 years","Both sexes","Number","62611"
"Population estimates from 1926","1971","10 years","Male","Number","31942"
"Population estimates from 1926","1971","10 years","Female","Number","30669"
"Population estimates from 1926","1971","11 years","Both sexes","Number","60496"
"Population estimates from 1926","1971","11 years","Male","Number","30745"
"Population estimates from 1926","1971","11 years","Female","Number","29751"
"Population estimates from 1926","1971","12 years","Both sexes","Number","58664"
"Population estimates from 1926","1971","12 years","Male","Number","30057"
"Population estimates from 1926","1971","12 years","Female","Number","28607"
"Population estimates from 1926","1971","13 years","Both sexes","Number","58561"
"Population estimates from 1926","1971","13 years","Male","Number","29728"
"Population estimates from 1926","1971","13 years","Female","Number","28833"
"Population estimates from 1926","1971","14 years","Both sexes","Number","58225"
"Population estimates from 1926","1971","14 years","Male","Number","29640"
"Population estimates from 1926","1971","14 years","Female","Number","28585"
"Population estimates from 1926","1971","15 years","Both sexes","Number","56255"
"Population estimates from 1926","1971","15 years","Male","Number","28706"
"Population estimates from 1926","1971","15 years","Female","Number","27549"
"Population estimates from 1926","1971","16 years","Both sexes","Number","56500"
"Population estimates from 1926","1971","16 years","Male","Number","28846"
"Population estimates from 1926","1971","16 years","Female","Number","27654"
"Population estimates from 1926","1971","17 years","Both sexes","Number","54275"
"Population estimates from 1926","1971","17 years","Male","Number","27763"
"Population estimates from 1926","1971","17 years","Female","Number","26512"
"Population estimates from 1926","1971","18 years","Both sexes","Number","52665"
"Population estimates from 1926","1971","18 years","Male","Number","26827"
"Population estimates from 1926","1971","18 years","Female","Number","25838"
"Population estimates from 1926","1971","19 years","Both sexes","Number","48032"
"Population estimates from 1926","1971","19 years","Male","Number","24631"
"Population estimates from 1926","1971","19 years","Female","Number","23401"
"Population estimates from 1926","1971","20 years","Both sexes","Number","46874"
"Population estimates from 1926","1971","20 years","Male","Number","24123"
"Population estimates from 1926","1971","20 years","Female","Number","22751"
"Population estimates from 1926","1971","21 years","Both sexes","Number","44304"
"Population estimates from 1926","1971","21 years","Male","Number","22604"
"Population estimates from 1926","1971","21 years","Female","Number","21700"
"Population estimates from 1926","1971","22 years","Both sexes","Number","42919"
"Population estimates from 1926","1971","22 years","Male","Number","21959"
"Population estimates from 1926","1971","22 years","Female","Number","20960"
"Population estimates from 1926","1971","23 years","Both sexes","Number","41468"
"Population estimates from 1926","1971","23 years","Male","Number","21048"
"Population estimates from 1926","1971","23 years","Female","Number","20420"
"Population estimates from 1926","1971","24 years","Both sexes","Number","39686"
"Population estimates from 1926","1971","24 years","Male","Number","20227"
"Population estimates from 1926","1971","24 years","Female","Number","19459"
"Population estimates from 1926","1971","25 years","Both sexes","Number","38593"
"Population estimates from 1926","1971","25 years","Male","Number","19640"
"Population estimates from 1926","1971","25 years","Female","Number","18953"
"Population estimates from 1926","1971","26 years","Both sexes","Number","35875"
"Population estimates from 1926","1971","26 years","Male","Number","18148"
"Population estimates from 1926","1971","26 years","Female","Number","17727"
"Population estimates from 1926","1971","27 years","Both sexes","Number","34114"
"Population estimates from 1926","1971","27 years","Male","Number","17354"
"Population estimates from 1926","1971","27 years","Female","Number","16760"
"Population estimates from 1926","1971","28 years","Both sexes","Number","33583"
